GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109027253771,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-01 00:00:24,1704067224000,2024-01-01 00:00:24,02,小型汽车,鲁RE6***,未知
G320300109027253799,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-01 00:00:24,1704067224000,2024-01-01 00:00:24,02,小型汽车,鲁RE6***,未知
G320300109027254738,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:01:09,1704067269000,2024-01-01 00:01:09,52,教练车,苏CDM***,未知
G320300109027255007,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:01:18,1704067278000,2024-01-01 00:01:18,02,小型汽车,苏CE9***,未知
G320300109027255357,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-01 00:01:26,1704067286000,2024-01-01 00:01:26,02,小型汽车,苏CX8***,未知
G320300109027257074,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:02:17,1704067337000,2024-01-01 00:02:17,02,小型汽车,苏CU7***,未知
G320300109027257332,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-01 00:02:26,1704067346000,2024-01-01 00:02:26,02,小型汽车,鲁DQN***,未知
G320300109027257922,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:02:42,1704067362000,2024-01-01 00:02:42,02,小型汽车,皖FX2***,未知
G320300109027259672,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-01 00:03:15,1704067395000,2024-01-01 00:03:15,02,小型汽车,苏C7M***,未知
G320300109027259453,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:03:16,1704067396000,2024-01-01 00:03:16,02,小型汽车,皖L5Y***,未知
G320300109027259989,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:03:32,1704067412000,2024-01-01 00:03:32,52,教练车,苏CDT***,未知
G320300109027259899,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-01 00:03:35,1704067415000,2024-01-01 00:03:35,01,大型汽车,鲁JD2***,未知
G320300109027261705,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:04:22,1704067462000,2024-01-01 00:04:22,02,小型汽车,皖LRN***,未知
G320300109027261970,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:04:27,1704067467000,2024-01-01 00:04:27,02,小型汽车,皖L0V***,未知
G320300109027262281,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:04:36,1704067476000,2024-01-01 00:04:36,52,教练车,苏CDE***,未知
G320300109027262261,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-01 00:04:37,1704067477000,2024-01-01 00:04:37,02,小型汽车,皖LT7***,未知
G320300109027263219,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-01 00:04:59,1704067499000,2024-01-01 00:04:59,02,小型汽车,鲁DAQ***,未知
