GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109045193519,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-03 00:00:09,1704240009000,2024-01-03 00:00:09,1,大型汽车,苏NGS***,东风
G320300109045194019,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-03 00:00:36,1704240036000,2024-01-03 00:00:36,1,大型汽车,鲁Q97***,奥迪
G320300109045194137,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-03 00:00:43,1704240043000,2024-01-03 00:00:43,1,大型汽车,苏CGF***,未知
G320300109045194638,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-03 00:00:44,1704240044000,2024-01-03 00:00:44,2,小型汽车,晋A12***,未知
G320300109045194692,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-03 00:00:44,1704240044000,2024-01-03 00:00:44,2,小型汽车,晋A12***,未知
G320300109045194126,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-03 00:00:45,1704240045000,2024-01-03 00:00:45,2,小型汽车,鲁HNX***,未知
G320300109045194272,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-03 00:00:51,1704240051000,2024-01-03 00:00:51,1,大型汽车,冀DG1***,未知
G320300109045194471,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-03 00:00:51,1704240051000,2024-01-03 00:00:51,2,小型汽车,苏C83***,未知
G320300109045194431,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-03 00:01:03,1704240063000,2024-01-03 00:01:03,1,大型汽车,苏CMZ***,吉利
G320300109045194605,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-03 00:01:10,1704240070000,2024-01-03 00:01:10,1,大型汽车,苏CLF***,福特
