GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109098928185,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-09 00:00:28,1704758428000,2024-01-09 00:00:28,52,教练车,云CDF***,未知
G320300109098928511,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-09 00:00:35,1704758435000,2024-01-09 00:00:35,01,大型汽车,晋LM8***,未知
G320300109098928812,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-09 00:00:54,1704758454000,2024-01-09 00:00:54,01,大型汽车,皖LE4***,未知
G320300109098929000,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-09 00:01:07,1704758467000,2024-01-09 00:01:07,02,小型汽车,苏C68***,未知
G320300109098932596,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-09 00:03:41,1704758621000,2024-01-09 00:03:41,01,大型汽车,鲁H15***,未知
G320300109098931976,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:03:43,1704758623000,2024-01-09 00:03:43,01,大型汽车,豫KE3***,未知
G320300109098932148,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-09 00:03:45,1704758625000,2024-01-09 00:03:45,52,教练车,苏CDS***,未知
G320300109098932391,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:04:00,1704758640000,2024-01-09 00:04:00,01,大型汽车,鲁Q88***,未知
G320300109098932882,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518518-K358-省际卡口,1,2024-01-09 00:04:04,1704758644000,2024-01-09 00:04:04,52,教练车,苏CDG***,未知
G320300109098932912,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-09 00:04:18,1704758658000,2024-01-09 00:04:18,01,大型汽车,苏ENU***,未知
G320300109098933839,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-09 00:04:45,1704758685000,2024-01-09 00:04:45,01,大型汽车,鲁PR1***,未知
G320300109098934226,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-09 00:05:31,1704758731000,2024-01-09 00:05:31,02,小型汽车,苏C26***,未知
G320300109098934582,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-09 00:05:44,1704758744000,2024-01-09 00:05:44,02,小型汽车,苏C90***,未知
G320300109098934676,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-09 00:06:00,1704758760000,2024-01-09 00:06:00,02,小型汽车,苏C18***,未知
G320300109098935137,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:06:14,1704758774000,2024-01-09 00:06:14,01,大型汽车,鲁Q79***,未知
G320300109098935446,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-09 00:06:30,1704758790000,2024-01-09 00:06:30,02,小型汽车,苏C96***,未知
G320300109098935465,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:06:31,1704758791000,2024-01-09 00:06:31,01,大型汽车,鲁Q90***,未知
G320300109098936797,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-09 00:07:22,1704758842000,2024-01-09 00:07:22,02,小型汽车,苏CX1***,未知
G320300109098936668,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2024-01-09 00:07:29,1704758849000,2024-01-09 00:07:29,02,小型汽车,苏C3J***,未知
G320300109098937431,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-09 00:08:05,1704758885000,2024-01-09 00:08:05,02,小型汽车,苏CX8***,未知
G320300109098938330,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-09 00:08:45,1704758925000,2024-01-09 00:08:45,02,小型汽车,苏C52***,未知
G320300109098939499,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:09:45,1704758985000,2024-01-09 00:09:45,01,大型汽车,鲁Q20***,未知
G320300109098940012,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-09 00:10:23,1704759023000,2024-01-09 00:10:23,52,教练车,鲁DD3***,未知
G320300109098940256,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-09 00:10:25,1704759025000,2024-01-09 00:10:25,02,小型汽车,豫N3U***,未知
