GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109069088407,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-06 16:46:24,1704559584000,2024-01-06 16:46:24,1,大型汽车,苏NBJ***,福田
F120300109069087730,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 16:46:25,1704559585000,2024-01-06 16:46:25,1,大型汽车,苏CMW***,未知
F120300109069089698,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 16:46:30,1704559590000,2024-01-06 16:46:30,2,小型汽车,苏C18***,福特
F120300109069091127,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 16:46:38,1704559598000,2024-01-06 16:46:38,52,教练车,苏CFN***,未知
F120300109069092653,睢宁县,S252,K56,PROVINCE,江苏-安徽,苏皖界,S252-K56-省际卡口,1,2024-01-06 16:46:46,1704559606000,2024-01-06 16:46:46,2,小型汽车,皖L63***,本田
F120300109069093184,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 16:46:50,1704559610000,2024-01-06 16:46:50,2,小型汽车,苏CW6***,本田
F120300109069094826,睢宁县,S252,K56,PROVINCE,江苏-安徽,苏皖界,S252-K56-省际卡口,1,2024-01-06 16:46:59,1704559619000,2024-01-06 16:46:59,2,小型汽车,鲁D02***,江淮
F120300109069096139,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 16:47:05,1704559625000,2024-01-06 16:47:05,2,小型汽车,苏CN0***,吉利
F120300109069097363,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 16:47:09,1704559629000,2024-01-06 16:47:09,2,小型汽车,苏C51***,雪佛兰
F120300109069098441,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2024-01-06 16:47:13,1704559633000,2024-01-06 16:47:13,2,小型汽车,苏CG7***,未知
F120300109069098910,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2024-01-06 16:47:18,1704559638000,2024-01-06 16:47:18,2,小型汽车,苏C9U***,未知
F120300109069100661,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 16:47:28,1704559648000,2024-01-06 16:47:28,2,小型汽车,苏CU6***,未知
F120300109069100533,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 16:47:30,1704559650000,2024-01-06 16:47:30,1,大型汽车,苏CNF***,福田
F120300109069102851,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 16:47:41,1704559661000,2024-01-06 16:47:41,2,小型汽车,苏CQ8***,未知
F120300109069103422,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 16:47:43,1704559663000,2024-01-06 16:47:43,2,小型汽车,皖LE3***,大众
F120300109069103859,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-06 16:47:47,1704559667000,2024-01-06 16:47:47,2,小型汽车,苏C8S***,大众
F120300109069271781,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:02:04,1704560524000,2024-01-06 17:02:04,1,大型汽车,苏CL2***,东风
F120300109069271647,睢宁县,S252,K56,PROVINCE,江苏-安徽,苏皖界,S252-K56-省际卡口,1,2024-01-06 17:02:06,1704560526000,2024-01-06 17:02:06,2,小型汽车,皖LRK***,本田
F120300109069271725,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 17:02:06,1704560526000,2024-01-06 17:02:06,1,大型汽车,苏CTZ***,福田
F120300109069275445,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:02:23,1704560543000,2024-01-06 17:02:23,2,小型汽车,皖L78***,福特
F120300109069276078,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-06 17:02:23,1704560543000,2024-01-06 17:02:23,52,教练车,苏CDG***,现代
F120300109069276001,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:02:25,1704560545000,2024-01-06 17:02:25,2,小型汽车,苏CY2***,宝马
F120300109069276649,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-06 17:02:28,1704560548000,2024-01-06 17:02:28,1,大型汽车,苏CCK***,江淮
F120300109069277267,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 17:02:33,1704560553000,2024-01-06 17:02:33,1,大型汽车,鲁Q59***,福田
F120300109069278232,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-06 17:02:35,1704560555000,2024-01-06 17:02:35,2,小型汽车,苏C96***,大众
F120300109069498921,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:19:33,1704561573000,2024-01-06 17:19:33,2,小型汽车,苏N47***,大众
F120300109069500848,睢宁县,S252,K56,PROVINCE,江苏-安徽,苏皖界,S252-K56-省际卡口,1,2024-01-06 17:19:43,1704561583000,2024-01-06 17:19:43,2,小型汽车,皖L36***,未知
F120300109069504523,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:19:58,1704561598000,2024-01-06 17:19:58,2,小型汽车,苏C16***,雪佛兰
F120300109069504784,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:20:01,1704561601000,2024-01-06 17:20:01,2,小型汽车,苏C7H***,本田
F120300109069504654,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:20:02,1704561602000,2024-01-06 17:20:02,2,小型汽车,苏CA8***,本田
F120300109069724468,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 17:35:35,1704562535000,2024-01-06 17:35:35,1,大型汽车,苏CU2***,一汽
F120300109069734830,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:36:57,1704562617000,2024-01-06 17:36:57,2,小型汽车,豫N35***,吉利
F120300109069739674,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:37:15,1704562635000,2024-01-06 17:37:15,2,小型汽车,苏C8B***,路虎
F120300109069740602,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:37:18,1704562638000,2024-01-06 17:37:18,2,小型汽车,苏C58***,奥迪
F120300109069742871,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:37:23,1704562643000,2024-01-06 17:37:23,2,小型汽车,苏C28***,大众
F120300109069742802,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:37:25,1704562645000,2024-01-06 17:37:25,2,小型汽车,苏C5C***,五菱
F120300109069744352,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:37:29,1704562649000,2024-01-06 17:37:29,2,小型汽车,苏CX2***,未知
F120300109070000695,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 17:53:36,1704563616000,2024-01-06 17:53:36,1,大型汽车,鲁JB2***,未知
F120300109070000972,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 17:54:03,1704563643000,2024-01-06 17:54:03,2,小型汽车,苏CZ5***,一汽
F120300109070000069,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:54:03,1704563643000,2024-01-06 17:54:03,1,大型汽车,苏NFK***,奇瑞
F120300109070000851,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 17:54:04,1704563644000,2024-01-06 17:54:04,2,小型汽车,皖A21***,丰田
F120300109070002053,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 17:54:09,1704563649000,2024-01-06 17:54:09,2,小型汽车,苏C23***,大众
F120300109070001462,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:54:09,1704563649000,2024-01-06 17:54:09,2,小型汽车,苏C72***,吉利
F120300109070002399,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-06 17:54:12,1704563652000,2024-01-06 17:54:12,2,小型汽车,苏C07***,未知
F120300109070003281,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:54:15,1704563655000,2024-01-06 17:54:15,2,小型汽车,苏N21***,别克
F120300109070003288,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:54:16,1704563656000,2024-01-06 17:54:16,2,小型汽车,苏C76***,未知
F120300109070005586,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 17:54:19,1704563659000,2024-01-06 17:54:19,2,小型汽车,苏N3V***,别克
F120300109070006728,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 17:54:20,1704563660000,2024-01-06 17:54:20,2,小型汽车,苏C60***,大众
F120300109070009457,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518518-K358-省际卡口,1,2024-01-06 17:54:24,1704563664000,2024-01-06 17:54:24,2,小型汽车,苏CF1***,东风
F120300109070004384,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 17:54:24,1704563664000,2024-01-06 17:54:24,2,小型汽车,苏C8T***,五菱
F120300109070011219,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-06 17:54:25,1704563665000,2024-01-06 17:54:25,2,小型汽车,苏C20***,奥迪
F120300109070006556,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:26,1704563666000,2024-01-06 17:54:26,2,小型汽车,苏C1R***,未知
F120300109070006029,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:54:26,1704563666000,2024-01-06 17:54:26,2,小型汽车,苏C3F***,雪佛兰
F120300109070006993,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:54:27,1704563667000,2024-01-06 17:54:27,2,小型汽车,苏CW5***,本田
F120300109070005554,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:27,1704563667000,2024-01-06 17:54:27,2,小型汽车,苏C1R***,未知
F120300109070007327,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-06 17:54:31,1704563671000,2024-01-06 17:54:31,2,小型汽车,苏G57***,大通
F120300109070007406,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:31,1704563671000,2024-01-06 17:54:31,2,小型汽车,苏C3H***,丰田
F120300109070007535,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:32,1704563672000,2024-01-06 17:54:32,2,小型汽车,苏C3L***,江淮
F120300109070010365,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518518-K358-省际卡口,1,2024-01-06 17:54:33,1704563673000,2024-01-06 17:54:33,2,小型汽车,苏C01***,宝马
F120300109070008221,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:35,1704563675000,2024-01-06 17:54:35,2,小型汽车,苏C62***,未知
F120300109070009144,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:54:35,1704563675000,2024-01-06 17:54:35,2,小型汽车,苏C2E***,未知
F120300109070011187,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2024-01-06 17:54:37,1704563677000,2024-01-06 17:54:37,2,小型汽车,苏C3B***,未知
F120300109070008254,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:37,1704563677000,2024-01-06 17:54:37,2,小型汽车,苏C6Y***,名爵
F120300109070009279,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:39,1704563679000,2024-01-06 17:54:39,2,小型汽车,苏C86***,吉利
F120300109070009832,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-06 17:54:40,1704563680000,2024-01-06 17:54:40,2,小型汽车,苏C7G***,英菲尼迪
F120300109070010985,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-06 17:54:44,1704563684000,2024-01-06 17:54:44,52,教练车,苏CDG***,知豆
F120300109070011559,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 17:54:46,1704563686000,2024-01-06 17:54:46,2,小型汽车,苏CRP***,雪佛兰
F120300109070011498,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 17:54:48,1704563688000,2024-01-06 17:54:48,1,大型汽车,鲁Q69***,一汽
F120300109070013145,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 17:54:53,1704563693000,2024-01-06 17:54:53,1,大型汽车,皖SF1***,江淮
F120300109070242299,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 18:11:27,1704564687000,2024-01-06 18:11:27,2,小型汽车,皖FC3***,起亚
F120300109070241925,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2024-01-06 18:11:27,1704564687000,2024-01-06 18:11:27,2,小型汽车,苏E30***,大众
F120300109070242208,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 18:11:29,1704564689000,2024-01-06 18:11:29,2,小型汽车,苏C70***,大众
F120300109070243691,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-06 18:11:33,1704564693000,2024-01-06 18:11:33,2,小型汽车,苏CC3***,未知
F120300109070242592,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-06 18:11:33,1704564693000,2024-01-06 18:11:33,2,小型汽车,苏C7R***,纳智捷
F120300109070242627,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-06 18:11:35,1704564695000,2024-01-06 18:11:35,2,小型汽车,苏CL9***,五菱
F120300109070244401,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 18:11:38,1704564698000,2024-01-06 18:11:38,52,教练车,苏CDF***,奇瑞
F120300109070244853,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-06 18:11:38,1704564698000,2024-01-06 18:11:38,2,小型汽车,苏C72***,宝骏
F120300109070245396,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2024-01-06 18:11:38,1704564698000,2024-01-06 18:11:38,2,小型汽车,苏CJ7***,未知
F120300109070244831,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2024-01-06 18:11:40,1704564700000,2024-01-06 18:11:40,2,小型汽车,苏C9C***,荣威
F120300109070244893,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 18:11:40,1704564700000,2024-01-06 18:11:40,2,小型汽车,苏C46***,现代
F120300109070246261,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-06 18:11:41,1704564701000,2024-01-06 18:11:41,2,小型汽车,苏C08***,宝骏
