GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109155640784,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-14 00:00:06,1705190406000,2024-01-14 00:00:06,2,小型汽车,苏C7P***,现代
F120300109155640855,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-14 00:00:10,1705190410000,2024-01-14 00:00:10,1,大型汽车,苏NCX***,福田
F120300109155640937,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-14 00:00:14,1705190414000,2024-01-14 00:00:14,1,大型汽车,鲁Q25***,东风
F120300109155641042,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-14 00:00:19,1705190419000,2024-01-14 00:00:19,1,大型汽车,鲁UV5***,东风
F120300109155641251,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-14 00:00:29,1705190429000,2024-01-14 00:00:29,1,大型汽车,皖LD8***,华泰
F120300109155641578,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-14 00:00:44,1705190444000,2024-01-14 00:00:44,2,小型汽车,皖LT6***,未知
F120300109155641696,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-14 00:00:49,1705190449000,2024-01-14 00:00:49,2,小型汽车,苏C3J***,未知
F120300109155641976,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-14 00:00:54,1705190454000,2024-01-14 00:00:54,2,小型汽车,苏C77***,大众
F120300109155641790,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-14 00:00:55,1705190455000,2024-01-14 00:00:55,2,小型汽车,苏U36***,斯柯达
F120300109155642028,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-14 00:01:13,1705190473000,2024-01-14 00:01:13,2,小型汽车,苏C98***,未知
