GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109062663648,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:06,1704326406000,2024-01-04 00:00:06,1,大型汽车,苏CKT***,一汽
F120300109062663738,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:12,1704326412000,2024-01-04 00:00:12,1,大型汽车,鲁Q95***,未知
F120300109062663876,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:19,1704326419000,2024-01-04 00:00:19,1,大型汽车,苏CMR***,未知
F120300109062664090,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-04 00:00:25,1704326425000,2024-01-04 00:00:25,2,小型汽车,苏N51***,中兴
F120300109062663994,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:26,1704326426000,2024-01-04 00:00:26,1,大型汽车,苏CKR***,未知
F120300109062664099,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:31,1704326431000,2024-01-04 00:00:31,1,大型汽车,皖CD8***,一汽
F120300109062664503,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-04 00:00:39,1704326439000,2024-01-04 00:00:39,2,小型汽车,苏N95***,别克
F120300109062664980,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-04 00:00:48,1704326448000,2024-01-04 00:00:48,2,小型汽车,鲁H71***,东风
F120300109062664692,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:00:53,1704326453000,2024-01-04 00:00:53,2,小型汽车,苏CM8***,五菱
F120300109062664689,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-04 00:00:58,1704326458000,2024-01-04 00:00:58,2,小型汽车,鲁H1L***,奔驰
F120300109062665167,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:01:25,1704326485000,2024-01-04 00:01:25,2,小型汽车,苏C3D***,未知
