GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F40300108866851752,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:00:23,1702944023000,2023-12-19 00:00:23,02,小型汽车,冀A81***,东风
F40300108866851617,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-19 00:00:28,1702944028000,2023-12-19 00:00:28,02,小型汽车,苏CB5***,五菱
F40300108866851625,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:00:30,1702944030000,2023-12-19 00:00:30,01,大型汽车,苏C3T***,福田
F40300108866851763,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:00:39,1702944039000,2023-12-19 00:00:39,01,大型汽车,鲁Q83***,福田
F40300108866852436,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:01:33,1702944093000,2023-12-19 00:01:33,01,大型汽车,苏CGC***,奥迪
F40300108866852559,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-19 00:01:34,1702944094000,2023-12-19 00:01:34,02,小型汽车,苏C12***,未知
F40300108866852528,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-19 00:01:36,1702944096000,2023-12-19 00:01:36,01,大型汽车,苏GP2***,福田
F40300108866852604,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-19 00:01:45,1702944105000,2023-12-19 00:01:45,02,小型汽车,皖LNB***,未知
F40300108866852922,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:01:47,1702944107000,2023-12-19 00:01:47,01,大型汽车,苏CMP***,东风
F40300108866852761,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:01:55,1702944115000,2023-12-19 00:01:55,01,大型汽车,鲁Q76***,未知
F40300108866852854,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:02:00,1702944120000,2023-12-19 00:02:00,01,大型汽车,鲁Q35***,未知
F40300108866853335,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:02:37,1702944157000,2023-12-19 00:02:37,01,大型汽车,苏CKG***,汉江
F40300108866853386,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:02:41,1702944161000,2023-12-19 00:02:41,01,大型汽车,豫NM9***,宝马
F40300108866853662,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:02:44,1702944164000,2023-12-19 00:02:44,01,大型汽车,苏CLS***,福田
F40300108866853892,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:03:11,1702944191000,2023-12-19 00:03:11,02,小型汽车,苏CE1***,吉利
F40300108866854240,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:03:26,1702944206000,2023-12-19 00:03:26,01,大型汽车,鲁H18***,一汽
F40300108866854228,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:03:41,1702944221000,2023-12-19 00:03:41,01,大型汽车,皖C24***,宝马
F40300108866854273,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-19 00:03:43,1702944223000,2023-12-19 00:03:43,01,大型汽车,苏CJN***,一汽
F40300108866854514,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:04:06,1702944246000,2023-12-19 00:04:06,01,大型汽车,鲁Q02***,福田
F40300108866854562,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:04:10,1702944250000,2023-12-19 00:04:10,01,大型汽车,皖LG4***,五十铃
F40300108866854895,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-19 00:04:36,1702944276000,2023-12-19 00:04:36,01,大型汽车,鲁H70***,未知
F40300108866855182,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:04:52,1702944292000,2023-12-19 00:04:52,02,小型汽车,苏NL5***,东风
F40300108866855526,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:05:22,1702944322000,2023-12-19 00:05:22,02,小型汽车,苏C1B***,北京
F40300108866855571,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:05:26,1702944326000,2023-12-19 00:05:26,02,小型汽车,苏CH5***,江淮
F40300108866855614,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-19 00:05:28,1702944328000,2023-12-19 00:05:28,02,小型汽车,苏C6X***,未知
F40300108866855984,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:05:58,1702944358000,2023-12-19 00:05:58,02,小型汽车,苏C57***,现代
F40300108866856353,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:06:27,1702944387000,2023-12-19 00:06:27,02,小型汽车,苏NR3***,大众
F40300108866856441,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:06:43,1702944403000,2023-12-19 00:06:43,01,大型汽车,鲁CN1***,宝马
F40300108866856547,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-19 00:06:45,1702944405000,2023-12-19 00:06:45,01,大型汽车,豫NX3***,云度
F40300108866856511,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:06:50,1702944410000,2023-12-19 00:06:50,01,大型汽车,鲁Q58***,一汽
F40300108866856559,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:06:54,1702944414000,2023-12-19 00:06:54,01,大型汽车,皖L29***,一汽
F40300108866856833,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-19 00:07:11,1702944431000,2023-12-19 00:07:11,未知,未知,苏D38***,未知
F40300108866857082,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:07:17,1702944437000,2023-12-19 00:07:17,01,大型汽车,苏CJT***,未知
F40300108866856886,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-19 00:07:20,1702944440000,2023-12-19 00:07:20,02,小型汽车,苏C77***,大众
F40300108866856890,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-19 00:07:22,1702944442000,2023-12-19 00:07:22,02,小型汽车,苏C32***,未知
F40300108866857383,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:07:43,1702944463000,2023-12-19 00:07:43,01,大型汽车,鲁H50***,福田
F40300108866857670,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:08:08,1702944488000,2023-12-19 00:08:08,02,小型汽车,豫GB8***,海马
F40300108866857556,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-19 00:08:13,1702944493000,2023-12-19 00:08:13,01,大型汽车,鲁Q77***,福田
F40300108866857749,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-19 00:08:13,1702944493000,2023-12-19 00:08:13,02,小型汽车,苏CW6***,大众
F40300108866857716,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-19 00:08:20,1702944500000,2023-12-19 00:08:20,02,小型汽车,苏CZ2***,长城
