GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
F70300108907154787,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:00:03,1703980803000,2023-12-31 00:00:03,01,大型汽车,鲁JC6***,一汽
F70300108907155183,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2023-12-31 00:00:23,1703980823000,2023-12-31 00:00:23,02,小型汽车,苏CG9***,未知
F70300108907155798,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-31 00:00:59,1703980859000,2023-12-31 00:00:59,02,小型汽车,苏CT1***,奔驰
F70300108907155793,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-31 00:01:00,1703980860000,2023-12-31 00:01:00,02,小型汽车,苏A10***,未知
F70300108907156561,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:01:50,1703980910000,2023-12-31 00:01:50,01,大型汽车,鲁Q67***,一汽
F70300108907156671,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-31 00:01:56,1703980916000,2023-12-31 00:01:56,未知,未知,苏CK0***,一汽
F70300108907156844,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:02:07,1703980927000,2023-12-31 00:02:07,01,大型汽车,鲁AV2***,捷途
F70300108907156921,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:02:12,1703980932000,2023-12-31 00:02:12,01,大型汽车,苏CMN***,东南
F70300108907157417,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-31 00:02:36,1703980956000,2023-12-31 00:02:36,02,小型汽车,苏G65***,名爵
F70300108907158163,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-31 00:02:56,1703980976000,2023-12-31 00:02:56,52,教练车,苏CDH***,领克
F70300108907157762,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:03:02,1703980982000,2023-12-31 00:03:02,01,大型汽车,鲁Q69***,福田
F70300108907158307,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:03:36,1703981016000,2023-12-31 00:03:36,01,大型汽车,鲁Q23***,福特
F70300108907158939,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-31 00:04:02,1703981042000,2023-12-31 00:04:02,02,小型汽车,苏CP5***,五菱
F70300108907159318,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-31 00:04:28,1703981068000,2023-12-31 00:04:28,01,大型汽车,皖LE4***,未知
F70300108907159634,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518518-K358-省际卡口,1,2023-12-31 00:04:30,1703981070000,2023-12-31 00:04:30,02,小型汽车,苏C16***,东风
F70300108907160002,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:05:15,1703981115000,2023-12-31 00:05:15,52,教练车,苏NDD***,现代
F70300108907160319,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:05:33,1703981133000,2023-12-31 00:05:33,01,大型汽车,鲁PW9***,东风
F70300108907160924,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:06:06,1703981166000,2023-12-31 00:06:06,01,大型汽车,皖LD1***,福田
F70300108907161090,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:06:14,1703981174000,2023-12-31 00:06:14,01,大型汽车,鲁Q18***,未知
F70300108907161817,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:06:55,1703981215000,2023-12-31 00:06:55,01,大型汽车,苏NAK***,福田
F70300108907162061,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:07:11,1703981231000,2023-12-31 00:07:11,02,小型汽车,苏U76***,奇瑞
