GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
320300108860652979,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-10 00:00:17,1702166417000,2023-12-10 00:00:17,01,大型汽车,皖N10***,未知
320300108860653531,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-10 00:00:53,1702166453000,2023-12-10 00:00:53,01,大型汽车,鲁Q76***,未知
320300108860654124,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-10 00:01:34,1702166494000,2023-12-10 00:01:34,02,小型汽车,皖LYL***,未知
320300108860655553,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-10 00:02:48,1702166568000,2023-12-10 00:02:48,01,大型汽车,赣FB2***,未知
320300108860655548,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-10 00:02:48,1702166568000,2023-12-10 00:02:48,01,大型汽车,赣FB2***,未知
320300108860655729,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-10 00:03:14,1702166594000,2023-12-10 00:03:14,01,大型汽车,浙L27***,未知
320300108860656140,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-10 00:03:45,1702166625000,2023-12-10 00:03:45,02,小型汽车,苏CV8***,未知
320300108860657623,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-10 00:05:06,1702166706000,2023-12-10 00:05:06,01,大型汽车,鲁PX3***,未知
320300108860657621,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-10 00:05:07,1702166707000,2023-12-10 00:05:07,01,大型汽车,鲁PX3***,未知
320300108860657595,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-10 00:05:20,1702166720000,2023-12-10 00:05:20,01,大型汽车,皖LD7***,汉江
