GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,GCSJ_MQ,HPZL,HPZL_LABEL,HPHM,BRAND
320300108866851752,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-11 00:00:23,1702252823000,2023-12-11 00:00:23,02,小型汽车,冀A81***,东风
320300108866851617,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-11 00:00:28,1702252828000,2023-12-11 00:00:28,02,小型汽车,苏CB5***,五菱
320300108866851625,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:00:30,1702252830000,2023-12-11 00:00:30,01,大型汽车,苏C3T***,福田
320300108866851763,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:00:39,1702252839000,2023-12-11 00:00:39,01,大型汽车,鲁Q83***,福田
320300108866852436,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:01:33,1702252893000,2023-12-11 00:01:33,01,大型汽车,苏CGC***,奥迪
320300108866852559,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-11 00:01:34,1702252894000,2023-12-11 00:01:34,02,小型汽车,苏C12***,未知
320300108866852528,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-11 00:01:36,1702252896000,2023-12-11 00:01:36,01,大型汽车,苏GP2***,福田
320300108866852604,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-11 00:01:45,1702252905000,2023-12-11 00:01:45,02,小型汽车,皖LNB***,未知
320300108866852922,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-11 00:01:47,1702252907000,2023-12-11 00:01:47,01,大型汽车,苏CMP***,东风
320300108866852761,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:01:55,1702252915000,2023-12-11 00:01:55,01,大型汽车,鲁Q76***,未知
320300108866852854,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:02:00,1702252920000,2023-12-11 00:02:00,01,大型汽车,鲁Q35***,未知
320300108866853335,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:02:37,1702252957000,2023-12-11 00:02:37,01,大型汽车,苏CKG***,汉江
320300108866853386,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:02:41,1702252961000,2023-12-11 00:02:41,01,大型汽车,豫NM9***,宝马
320300108866853662,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-11 00:02:44,1702252964000,2023-12-11 00:02:44,01,大型汽车,苏CLS***,福田
320300108866853892,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-11 00:03:11,1702252991000,2023-12-11 00:03:11,02,小型汽车,苏CE1***,吉利
320300108866854240,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-11 00:03:26,1702253006000,2023-12-11 00:03:26,01,大型汽车,鲁H18***,一汽
320300108866854228,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:03:41,1702253021000,2023-12-11 00:03:41,01,大型汽车,皖C24***,宝马
320300108866854273,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-11 00:03:43,1702253023000,2023-12-11 00:03:43,01,大型汽车,苏CJN***,一汽
320300108866854514,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:04:06,1702253046000,2023-12-11 00:04:06,01,大型汽车,鲁Q02***,福田
320300108866854562,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-11 00:04:10,1702253050000,2023-12-11 00:04:10,01,大型汽车,皖LG4***,五十铃
320300108866854895,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-11 00:04:36,1702253076000,2023-12-11 00:04:36,01,大型汽车,鲁H70***,未知
320300108866855182,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-11 00:04:52,1702253092000,2023-12-11 00:04:52,02,小型汽车,苏NL5***,东风
320300108866855526,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-11 00:05:22,1702253122000,2023-12-11 00:05:22,02,小型汽车,苏C1B***,北京
320300108866855571,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-11 00:05:26,1702253126000,2023-12-11 00:05:26,02,小型汽车,苏CH5***,江淮
320300108866855614,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-11 00:05:28,1702253128000,2023-12-11 00:05:28,02,小型汽车,苏C6X***,未知
320300108866855984,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-11 00:05:58,1702253158000,2023-12-11 00:05:58,02,小型汽车,苏C57***,现代
